palika_id,province_en,province_ne,district_en,district_ne,palika_name_en,palika_name_ne,palika_type_en,palika_type_ne,palika_full_name_en,palika_full_name_ne,palika_label,wards,population_2021,area_km2,website,source_url
lumbini-palpa-nisdi-gaunpalika,Lumbini,लुम्बिनी,Palpa,पाल्पा,Nisdi,निस्दी,Gaunpalika,गाउँपालिका,Nisdi Gaunpalika,निस्दी गाउँपालिका,निस्दी गाउँपालिका / Nisdi Gaunpalika,0,18120,194.5,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-palpa-purbakhola-gaunpalika,Lumbini,लुम्बिनी,Palpa,पाल्पा,Purbakhola,पूर्वखोला,Gaunpalika,गाउँपालिका,Purbakhola Gaunpalika,पूर्वखोला गाउँपालिका,पूर्वखोला गाउँपालिका / Purbakhola Gaunpalika,0,16052,138.05,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-palpa-rainadevi-chhahara-gaunpalika,Lumbini,लुम्बिनी,Palpa,पाल्पा,Rainadevi Chhahara,रैनादेवी छहरा,Gaunpalika,गाउँपालिका,Rainadevi Chhahara Gaunpalika,रैनादेवी छहरा गाउँपालिका,रैनादेवी छहरा गाउँपालिका / Rainadevi Chhahara Gaunpalika,0,23149,175.88,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-palpa-rambha-gaunpalika,Lumbini,लुम्बिनी,Palpa,पाल्पा,Rambha,रम्भा,Gaunpalika,गाउँपालिका,Rambha Gaunpalika,रम्भा गाउँपालिका,रम्भा गाउँपालिका / Rambha Gaunpalika,0,17155,94.12,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-palpa-rampur-municipality,Lumbini,लुम्बिनी,Palpa,पाल्पा,Rampur,रामपुर,Municipality,नगरपालिका,Rampur Municipality,रामपुर नगरपालिका,रामपुर नगरपालिका / Rampur Municipality,10,40883,123.34,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
lumbini-palpa-ribdikot-gaunpalika,Lumbini,लुम्बिनी,Palpa,पाल्पा,Ribdikot,रिब्दीकोट,Gaunpalika,गाउँपालिका,Ribdikot Gaunpalika,रिब्दीकोट गाउँपालिका,रिब्दीकोट गाउँपालिका / Ribdikot Gaunpalika,0,15473,124.55,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-palpa-tansen-municipality,Lumbini,लुम्बिनी,Palpa,पाल्पा,Tansen,तानसेन,Municipality,नगरपालिका,Tansen Municipality,तानसेन नगरपालिका,तानसेन नगरपालिका / Tansen Municipality,14,50792,109.8,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
lumbini-palpa-tinau-gaunpalika,Lumbini,लुम्बिनी,Palpa,पाल्पा,Tinau,तिनाउ,Gaunpalika,गाउँपालिका,Tinau Gaunpalika,तिनाउ गाउँपालिका,तिनाउ गाउँपालिका / Tinau Gaunpalika,0,17777,202.0,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-parasi-palhinandan-gaunpalika,Lumbini,लुम्बिनी,Parasi,परासी,Palhinandan,पाल्हीनन्दन,Gaunpalika,गाउँपालिका,Palhinandan Gaunpalika,पाल्हीनन्दन गाउँपालिका,पाल्हीनन्दन गाउँपालिका / Palhinandan Gaunpalika,0,38186,44.67,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-parasi-pratappur-gaunpalika,Lumbini,लुम्बिनी,Parasi,परासी,Pratappur,प्रतापपुर,Gaunpalika,गाउँपालिका,Pratappur Gaunpalika,प्रतापपुर गाउँपालिका,प्रतापपुर गाउँपालिका / Pratappur Gaunpalika,0,49897,87.55,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
